Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5DAALJjUCl57Z9qU6l52pF,"Set Dj 2W","Set Dj 2W","MC Luan da BS;Mc DB;MC Braz;MC Marley;MC Josh;Mc Dudu HR;DJ 2w",2021-05-17,275153,52,true,31issvbo2go74xaihjj5ccogxvni,2025-12-08T23:16:55Z,"funk de bh,funk","Funk Explode Records",0.58,0.534,11,-4.661,1,0.278,0.526,0.000336,0.0815,0.658,84.821,5
spotify:track:6kaWah1Acn1dtNjAy6sm1p,"Diário de um Cafajeste","Diário de um Cafajeste","DJ Oreia;Mc Lele JP;MC Meno K;MC Ryan SP;MC Tuto;Mc Negão Original",2025-11-06,357120,84,true,31issvbo2go74xaihjj5ccogxvni,2025-12-08T23:17:02Z,"funk,funk consciente,trap funk,funk carioca","GRINGOS WORLD PRODUTORA",0.721,0.521,5,-6.149,0,0.653,0.217,0.00541,0.0847,0.831,125.019,4
spotify:track:020De83tFmcTrgEpzdUCNS,"Vai Tomando Pock Pock","Chatão","Mc Lele JP;MC Leozinho ZS;MC GH Original;MC Menor ZL;DJ GORDINHO DA VF;MC Meno K;MC PR",2025-08-07,335999,22,true,31issvbo2go74xaihjj5ccogxvni,2025-12-08T23:17:09Z,"funk,funk consciente,trap funk,funk carioca,phonk,brega funk,phonk brasileiro","GRINGOS WORLD PRODUTORA",0.911,0.612,4,-2.79,0,0.0829,0.176,0.000142,0.103,0.515,130.115,4
spotify:track:49RRBsYse5dBDRubOhCEkE,"espelho","tempo.zip","Teto",2025-01-15,130909,58,true,31issvbo2go74xaihjj5ccogxvni,2025-12-08T23:17:16Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","30PRAUM",0.836,0.667,1,-2.124,0,0.063,0.116,0,0.0675,0.42,121.027,4
spotify:track:5jXXQY6LLlEtEWMDL6XcaP,"Chatão","Chatão","Mc Lele JP;DJ Oreia;Mc DR;Gubeatz;Mc Negão Original;MC Ryan SP",2025-08-07,314880,19,false,31issvbo2go74xaihjj5ccogxvni,2025-12-12T02:18:55Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.511,0.484,11,-10.559,0,0.147,0.259,0.00119,0.132,0.811,82.822,5
spotify:track:4kqz2VSAmiLm06X90jmktL,"Semi Nua","Semi Nua","MC GP;MC Meno K;Aaron Modesto;MC RN do Capão;DU'L;MC Rick;DJ Guh Mix;Marquinho no Beat;MC Ryan SP;Mc Negão Original",2025-08-08,548571,13,true,31issvbo2go74xaihjj5ccogxvni,2025-12-12T02:25:20Z,"funk,funk consciente,trap funk,funk carioca,funk de bh,trap brasileiro,trap","Black Sound Music",0.53,0.671,3,-4.037,0,0.369,0.733,0,0.228,0.74,91.006,3
spotify:track:3InTJC7yJU7MxpYP0b5KOt,"Pra Que Brigar","Pra Que Brigar","MC Josh;Dj L Martins;Dj Tg Da Inestan;Dj Luizin",2021-07-01,177230,64,true,31issvbo2go74xaihjj5ccogxvni,2025-12-29T15:52:37Z,"funk de bh,funk","NW EDITORA",0.484,0.349,8,-7.331,0,0.133,0.518,0,0.157,0.573,68.562,4
spotify:track:1JZDwJgE9VSC0V2GR66z63,"SET DO JAPA NK 2.0","SET DO JAPA NK 2.0","DJ Japa NK;MC Ryan SP;MC Meno K;Mc IG;MC LUUKY;Mc Jacaré;Mc Rodrigo do CN;MC GH do 7;Mc Lele JP;MC Jvila;Oruam",2025-11-20,518783,79,true,31issvbo2go74xaihjj5ccogxvni,2025-12-29T15:52:41Z,"funk,trap funk,funk consciente,funk carioca,funk de bh,trap brasileiro,trap","Bololo Records",0.907,0.586,6,-4.773,0,0.14,0.317,0,0.122,0.604,129.905,4
spotify:track:6FvzsjfBugXgN8wHwT1cck,"Vem Intencionada","Chatão","Mc Lele JP;DJ Hyago",2025-08-07,155520,10,false,31issvbo2go74xaihjj5ccogxvni,2026-01-10T20:23:55Z,"funk,funk consciente,trap funk","GRINGOS WORLD PRODUTORA",0.828,0.552,10,-5.841,0,0.143,0.0736,0.00000109,0.0669,0.545,125.095,4
spotify:track:7qqixxBvZIGSep53Eh2o0b,"Gauchinha","Beat Que Te Deixa Alerta","DJ Japa NK;MC Meno K;MC Ryan SP;Mc Brinquedo;MC LUUKY",2025-12-17,273326,78,false,31issvbo2go74xaihjj5ccogxvni,2026-01-10T20:24:02Z,"funk,trap funk,funk consciente,funk carioca","2025 Kondzilla Nova Era",0.934,0.476,1,-7.046,0,0.505,0.295,0,0.0779,0.573,130.075,4
