Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1lT7k7RXpNR39SpLwYAD9E,"Saint Laurent","Saint Laurent","Lil Kid 777;CJota;MC PH;Mc IG",2023-03-28,174853,49,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:13Z,"trap funk,funk,trap brasileiro,funk consciente,trap","GR6 Music",0.787,0.451,0,-8.281,0,0.39,0.28,0,0.0931,0.769,139.782,4
spotify:track:4IavDOfEOKg8zzdfCx9TmJ,"NA ONDA","MUITA ONDA","MC Maneirinho;NADAMAL;MC Cabelinho;AJ Wav",2022-10-31,150508,60,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:17Z,"trap brasileiro,trap funk,funk,funk carioca,funk consciente,trap,hip hop brasileiro","NadamalRecords",0.661,0.588,10,-6.666,0,0.0389,0.414,0.000012,0.199,0.424,117.939,4
spotify:track:3zrAPsfxf957oS161JlnKM,"Espelho","Chora Agora, Ri Depois","MC Hariel;Gaab",2020-05-01,234000,62,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:20Z,"funk,funk consciente,trap funk,pagode","GR6 Music",0.877,0.532,7,-7.935,1,0.107,0.351,0,0.0787,0.662,135.969,4
spotify:track:0vy51G7oHHjUvIIklBpquR,"Tóxica só que vicia","O mesmo que rimava na roda","Thiago Kelbert;CJota;Cave",2022-10-28,189718,50,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:21Z,"trap brasileiro,hip hop brasileiro,trap,trap funk","Thiago Kelbert",0.771,0.493,4,-6.744,0,0.0708,0.292,0,0.088,0.326,123.939,4
spotify:track:18kwZPjom1rUAoJgOCUsW9,"Homenagem aos Relíquias (feat. Menor MC, MC Vinny, MC Julio D.E R., MC Leozinho ZS, Makalo)","Homenagem aos Relíquias","DJ Matt D;Mc Lipi;MC Lemos;Menor MC;MC Vinny;MC Julio D.E R.;MC Leozinho ZS;Makalo",2020-08-07,303769,0,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:22Z,"funk,funk consciente,trap funk,trap brasileiro,trap","Satélite Funk",0.906,0.641,3,-2.875,0,0.308,0.0935,0,0.0551,0.678,129.987,4
spotify:track:1YgRhGSIFlek65mUniq27Z,"Cupido","Chora Agora, Ri Depois","MC Hariel",2020-05-01,161916,65,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:24Z,"funk,funk consciente,trap funk","GR6 Music",0.74,0.467,4,-6.654,0,0.378,0.242,0,0.0797,0.674,174.214,4
spotify:track:2E3XCbETX40q6k85K2ViND,"Antes do Sol Nascer","Celebridade","Orochi;Kizzy;PL Quest;Shok",2020-03-27,229333,68,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:24Z,"trap brasileiro,hip hop brasileiro,trap funk,trap,funk,funk carioca","Mainstreet Records",0.619,0.483,9,-7.973,0,0.0294,0.189,0,0.133,0.304,134.755,4
spotify:track:0C1cJj3ZNCS75sojrcMhZV,"Revoada do Tubarão","Revoada do Tubarão","MC Ryan SP;Mc Kevin;Mc IG;MC Rick;Mc Brisola;Mc Davi;Dfideliz;MC Dricka;Mc Vk;Mc Brinquedo;MC Paulin da Capital",2020-09-11,573333,63,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:25Z,"funk,funk consciente,trap funk,funk de bh,trap brasileiro,hip hop brasileiro,trap,brega funk","GR6 Music",0.889,0.821,8,-2.415,1,0.184,0.265,0,0.0949,0.732,90.014,4
spotify:track:1dMUsdVtoSLVkaJVMBk8Rk,"Ela se Envolve","Ela se Envolve","MC GP;DJ Japa NK;WHITE NO BEAT",2023-04-28,144043,56,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:27Z,"funk,funk consciente,trap funk","MC GP NOVA ERA",0.609,0.518,9,-3.877,1,0.587,0.608,0,0.312,0.353,86.752,5
spotify:track:6Oj0oJD4feRnzrAbcYqURl,"Lá no PPG","RICKNELSO","MC Rick;MC Cabelinho;Mc Leozin;Dj Win",2023-11-03,165230,50,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:28Z,"funk,funk de bh,trap funk,trap brasileiro,trap,hip hop brasileiro,funk consciente","GR6 Music",0.786,0.572,5,-3.765,0,0.0692,0.579,0,0.0938,0.616,129.89,4
spotify:track:22p1f7rHf3dDveLVyot0eY,"Noite Paulista","O Que O Igor Guilherme Anda Pensando ?","Mc IG;Mc Paiva ZS;MC PH;MC Ryan SP;Mc Luki;Gabb MC",2022-08-24,323855,60,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:29Z,"funk,trap funk,funk consciente,funk carioca,trap brasileiro","GR6 Music",0.717,0.675,6,-4.451,0,0.0977,0.807,0,0.229,0.799,165.964,4
spotify:track:0bvLxd9bUAYGKkpMYdR60F,"Mal Caminho","Mal Caminho","DJ JOAO DA INESTAN;Mc J Mito;Dj Tg Da Inestan;MC LORIN DA ZL",2022-02-18,155076,59,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:32Z,"funk de bh,funk","DjJoaoDaInestan",0.732,0.467,7,-5.1,0,0.499,0.716,0,0.0892,0.414,76.195,5
spotify:track:4DhDNNhIDdduS6nZMbSMbs,"Amantes da Foda","Amantes da Foda","Mc Rodrigo do CN;DJ JOAO DA INESTAN",2022-03-25,81230,71,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:33Z,"funk,funk de bh,funk carioca","Mc Rodrigo Do CN",0.862,0.186,9,-4.745,1,0.443,0.781,0,0.146,0.852,86.58,5
spotify:track:3O2wrDL7nnSDZOrdZqxyoY,"Noite Fria","Ninguém Tá Puro!","Mc IG;MC Pipokinha;DJ Glenner",2023-03-15,160975,63,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:35Z,"funk,trap funk,funk consciente","GR6 Music",0.76,0.435,6,-5.883,1,0.222,0.326,0,0.0679,0.451,81.653,4
spotify:track:3d1im1pw3WLuEty2k9XzTr,"Clickbait","Dos Prédios Deluxe","Veigh;Niink;Bvga Beatz;JHXW;Supernova Ent",2023-05-19,161344,64,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:37Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Entertainment Under Exclusive License to UnitedMasters",0.899,0.544,0,-6.674,0,0.32,0.391,0,0.138,0.753,119.022,4
spotify:track:6kNZdlmjH4BQnSUfHeJIuc,"Let's Go 3 (feat. MC Marks, Mc Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)","Let's Go 3 (feat. MC Marks, Mc Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)","Dj GBR;Mc IG;MC Ryan SP;MC Marks;Mc Don Juan;MC PH;Mc Luki;Mc Paiva ZS;MC GP;Makalo",2022-10-28,508586,60,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:37Z,"funk,trap funk,funk consciente,trap brasileiro,funk carioca","Sony Music Entertainment",0.791,0.681,5,-7.087,0,0.361,0.0522,0,0.116,0.9,86.988,4
spotify:track:2xs2TwrlfamtW0DQqId0M5,"Set Dj Boy 3.0","Set Dj Boy 3.0","DJ BOY;Mc Don Juan;MC Joãozinho VT;Kako;MC Hariel;MC Tuto;MC Marks;MC Vine7",2023-05-05,409411,63,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:40Z,"funk consciente,funk,trap funk","Sonar Music",0.81,0.589,9,-4.982,0,0.372,0.486,0,0.104,0.741,113.487,5
spotify:track:3Ci8V9ys9v7TPYyNt5WWqg,"Let's Go 2 (feat. MC Hariel, Mc Kadu, MC Marks, Mc Don Juan, Mc Luki & MC PH)","Let's Go 2 (feat. MC Hariel, Mc Kadu, MC Marks, Mc Don Juan, Mc Luki & MC PH)","Dj GBR;Mc IG;MC Ryan SP;MC Hariel;Mc Kadu;MC Marks;Mc Don Juan;Mc Luki;MC PH",2022-05-26,486547,59,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:41Z,"funk,trap funk,funk consciente,trap brasileiro","Sony Music Entertainment",0.602,0.689,4,-5.443,0,0.488,0.143,0,0.12,0.825,173.947,4
spotify:track:1N6oQPKuRss4kpl4H2qt8K,"Set Dj Gm 4.0","Set Dj Gm 4.0","Mc Lipi;MC Paulin da Capital;Mc Lele JP;Dj GM;MC Ryan SP;Nego do Borel;Mc Neguinho do ITR;Theus Costa;Mc Piedro;Mc Nathan ZK",2020-10-22,508865,63,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:42Z,"funk consciente,funk,trap funk,funk pop,funk carioca","LoveFunk",0.481,0.803,4,-0.808,0,0.0745,0.34,0,0.2,0.727,100.106,4
spotify:track:39za6I56DBTjr2JBJ2eIdo,"Personnalite","Inferno de Kant (Deluxe)","Kant;Chiocki;Sobs;Sueth;UCLÃ",2022-10-27,208910,63,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:43Z,"trap brasileiro,hip hop brasileiro,trap,trap funk","Kant",0.607,0.602,3,-6.011,0,0.23,0.322,0,0.0907,0.717,125.959,4
spotify:track:5QZEKx4SQOxABjMvcJjrGj,"Nunca Sozinho","Nunca Sozinho","Supernova Ent;Veigh;Nagalli;Rocco",2023-03-03,137102,0,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:45Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Supernova Ent",0.818,0.701,1,-5.656,0,0.342,0.0605,0,0.485,0.947,139.963,4
spotify:track:0pZIBIJ253pH9gJtXE0Ouf,"Vestido da Fendi","Vestido da Fendi","KayBlack;Marquinho no Beat;Wall Hein",2021-09-09,164203,68,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:46Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk","Elenko Music",0.844,0.363,3,-11.099,0,0.442,0.0957,0,0.115,0.626,118.096,4
spotify:track:6jxE4XjFVSKF18kfo7FCl9,"Iphone Branco","Iphone Branco","Borges;L3OZIN;Mainstreet",2022-02-09,137142,62,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:48Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Mainstreet",0.929,0.561,0,-6.686,1,0.403,0.0907,0,0.188,0.708,139.958,4
spotify:track:0cHflpV8SSGbE0NKaasEfT,"F* F* M*","Imaterial (Deluxe)","Filipe Ret;Dallass",2021-04-22,176000,66,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:50Z,"hip hop brasileiro,trap brasileiro,trap funk,trap","Som Livre",0.866,0.542,4,-7.13,0,0.344,0.651,0,0.09,0.362,119.982,4
spotify:track:6Vgn3IEUkWs3d6og029Gtm,"Mustang Preto","Mustang Preto","Teto",2021-10-10,183000,64,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:51Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Sony Music Entertainment",0.917,0.52,1,-7.138,1,0.129,0.0473,0,0.086,0.564,111.023,4
spotify:track:2VbKpQWIMRelKmEy8rSCAf,"Set Tatuapé Conceito 2","Set Tatuapé Conceito 2","Kako;MC Erik;MC GP;MC Ryan SP;MC Marks;MC Joãozinho VT;DJ BOY;Dj GM",2022-06-27,406588,57,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:51Z,"funk consciente,funk,trap funk","Sonar Music",0.718,0.644,3,-2.096,0,0.315,0.444,0,0.0884,0.778,113.283,5
spotify:track:4pjznsLeoyimnxGlVpmyJI,"NÉ SEGREDO","NÉ SEGREDO","MC Cabelinho;Victor WAO;Bairro 13",2022-09-19,155771,67,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:56Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk consciente","MC Cabelinho",0.654,0.71,3,-5.68,0,0.111,0.619,0,0.218,0.508,103.548,3
spotify:track:3gx9a8ea1nI0Wym9hJpdbJ,"Hino dos Mlks","Hino dos Mlks","BIN;Orochi;Mc Daniel;Caio Passos;Mainstreet",2022-10-17,209032,52,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:46:59Z,"trap brasileiro,hip hop brasileiro,trap funk,trap,funk,agronejo,funk consciente","Mainstreet Records",0.66,0.586,5,-5.359,0,0.165,0.313,0,0.104,0.792,92.821,4
spotify:track:52EYWdjiulHaehpexuowyh,"FOGO E GASOLINA","LITTLE LOVE","MC Cabelinho;Cyclope Beatz;Red;meLLo",2022-12-20,181767,68,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:00Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk consciente","Bairro 13",0.531,0.629,10,-6.378,0,0.108,0.184,0,0.134,0.508,141.562,4
spotify:track:3jrxlhAtoxi83qc76NT9EG,"7 Meiota","LUME","Filipe Ret;MC Cabelinho;MC Maneirinho",2022-06-16,190000,61,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:02Z,"hip hop brasileiro,trap brasileiro,trap funk,trap,funk consciente,funk,funk carioca","Som Livre",0.628,0.67,10,-5.386,0,0.0517,0.0872,0,0.131,0.541,120.02,4
spotify:track:3MGYvpoNOH3Tv5DywjJ0wA,"Dinheiro e Putaria","Nova Moda","Caio Luccas;NADAMAL;Dallass;MC Cabelinho",2022-06-03,193333,62,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:06Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk consciente","NadamalRecords",0.677,0.763,5,-3.828,0,0.0539,0.236,0.00000114,0.101,0.607,143.918,4
spotify:track:09q3ImHxfH10Fs6rEJ4G1S,"Met Gala!","É o Trem!","Tz da Coronel;Borges;CalliCartel;Victor WAO",2022-03-11,170000,54,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:08Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","CalliCartelRecords",0.916,0.53,1,-8.869,1,0.142,0.128,0.00000944,0.116,0.429,119.95,4
spotify:track:2bkkpu275WfxZxAfD0AAYL,"Malokeragem","Malokeragem","MC GP;DJ Kaio Mix",2022-05-27,173142,53,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:47:24Z,"funk,funk consciente,trap funk","Nova Era",0.672,0.34,11,-13.758,0,0.372,0.362,0,0.0967,0.319,139.955,4
