Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0CFXAHhKGusBALAfri40oZ,"A Dama e O Vagabundo","Quem Tá Vivo, Tá Vivendo","Mc IG;MC Marks;Mc Jacaré;DJ Glenner;Mc Negão Original;Mc Rodrigo do CN;Mc Piedro;DJ KN DE VILA VELHA",2026-03-26,443076,45,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente,funk carioca,funk de bh","WM Brazil",0.806,0.747,5,-1.51,0,0.0987,0.129,0,0.192,0.771,130.002,4
spotify:track:71kH00sELRUNJmtYAqWkCV,"Terrível Sensação","Quem Tá Vivo, Tá Vivendo","Mc IG;DJ Glenner",2026-03-26,178144,44,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente","WM Brazil",0.784,0.39,9,-7.936,0,0.0552,0.345,0,0.0829,0.355,97.003,4
spotify:track:3VhsuiUChMIsiJXICrWhrP,"Sabe o Meu Coração","Quem Tá Vivo, Tá Vivendo","Mc IG;Mc Lele JP;Mc Luki;DU'L;Mc Menor Kau;Menor Will;MC Nego Micha;DJ Oreia;Lil Kid 777",2026-03-26,438400,46,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.708,0.646,3,-6.576,1,0.259,0.102,0,0.138,0.788,150.138,4
spotify:track:7g3g2pDBbCMkhv5O4KkExy,"Quase Que","Quem Tá Vivo, Tá Vivendo","Mc IG;Mc Neguinho PRT;DJ Hyago;DJ Oreia;DJ Massinha Reborn",2026-03-26,186666,42,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente","WM Brazil",0.627,0.652,8,-6.312,0,0.188,0.0557,0,0.362,0.606,180.09,4
spotify:track:1cmfkTK5yz4EnrU7PBEyDN,"Low Profile","Quem Tá Vivo, Tá Vivendo","Mc IG;MC GP;MC Ryan SP;Mc Lele JP;DJ Hyago;Maestro dos Beats;Mc Dena;Mc Neguinho PRT;TrapLaudo",2026-03-26,557288,56,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente,funk carioca","WM Brazil",0.714,0.367,1,-6.593,1,0.458,0.366,0.00000689,0.0686,0.79,117.942,4
spotify:track:0qMLqNzw2bB9tVlbOIFxoC,"Bem-vinda à Minha Favela","Quem Tá Vivo, Tá Vivendo","Mc IG;Murillo e LT no Beat",2026-03-26,103140,40,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.608,0.612,2,-5.782,0,0.317,0.106,0.00000302,0.0984,0.732,88.724,3
spotify:track:64tp4dlb1DSSwF4ohOIpZ6,"Patricinha Ama","Quem Tá Vivo, Tá Vivendo","Mc IG;MC Meno K;MC Ryan SP;MC GP;DJ DAVI DOGDOG;DJ Japa NK;DU'L;MC LUUKY;Mc Jacaré;Mc Lele JP;Mc Negão Original;TrapLaudo",2026-03-26,624000,57,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente,funk carioca","WM Brazil",0.797,0.592,8,-5.955,0,0.291,0.352,0,0.0997,0.579,129.875,4
spotify:track:6yEmafoZ5PWwR54WvIY4vi,"Massinha Reborn","Quem Tá Vivo, Tá Vivendo","Mc IG;Mc Lele JP;DJ Massinha Reborn;MC Nego Micha;DJ Oreia;MC LIVEIRA;Mc Luki;Nego Trufa",2026-03-26,414720,46,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente","WM Brazil",0.792,0.676,4,-5.136,0,0.564,0.0425,0,0.0782,0.742,124.991,4
spotify:track:4slGOhy5Lm2CmzPcVt97Hd,"Eu Charrei","Quem Tá Vivo, Tá Vivendo","Mc IG;DJ Massinha Reborn;DJ Hyago",2026-03-26,146666,40,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T00:00:22Z,"funk,trap funk,funk consciente","WM Brazil",0.729,0.496,9,-7.263,0,0.0541,0.0366,0,0.0868,0.764,143.876,4
spotify:track:5MxyBn0jdGdoc6Hbwmzq5K,"MENOR PEÇA","H.A.R.D","Ghard;Supernova Ent;LPT Zlatan",2025-06-13,133333,51,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T16:27:39Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Supernova",0.642,0.733,9,-4.324,1,0.385,0.311,0,0.0801,0.568,96.223,5
spotify:track:36Hwcla06Q5BCr59CL0sBp,"Ayo Technology","Curtis","50 Cent;Justin Timberlake;Timbaland",2007-01-01,247946,83,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T19:16:41Z,"hip hop old school,east coast hip hop","Aftermath/Shady",0.63,0.782,8,-5.44,0,0.132,0.0828,0,0.034,0.418,140.144,4
spotify:track:7wglwZzZoWUr8sOECwpu6L,"Diário de um Detento","Sobrevivendo no Inferno","Racionais MC's",1997-10-07,451000,68,false,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T22:18:02Z,"hip hop brasileiro,rap,boom bap","Cosa Nostra",0.903,0.526,10,-10.069,0,0.334,0.603,0,0.0973,0.766,87.005,4
spotify:track:5H4mXWKcicuLKDn4Jy0sK7,"Time Flies","Dark Lane Demo Tapes","Drake",2020-05-01,192931,78,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-27T22:49:33Z,"rap","OVO",0.864,0.477,10,-5.786,1,0.224,0.201,0,0.182,0.5,86.46,4
spotify:track:6DCZcSspjsKoFjzjrWoCdn,"God's Plan","Scorpion","Drake",2018-06-29,198973,88,true,31pukwc6x5g7m2u2elje37e7ppje,2026-03-29T13:15:39Z,"rap","Cash Money/Drake LP6",0.754,0.449,7,-9.211,1,0.109,0.0332,0.0000829,0.552,0.357,77.169,4
